NAME;DIVIDEND YIELD;CASH FLOW/SALES;RETURN ON EQUITY - TOTAL (%);RETURN ON INVESTED CAPITAL;P/E - RATIO;TOTAL DEBT % COMMON EQUITY
APPLE;0.71;28.01;55.92;27.65;35.4;119.4
SAUDI ARABIAN OIL;0.21;31.73;32.25;28.34;29.5;16.96
MICROSOFT;1.06;43.46;40.14;24.89;36.5;61.56
AMAZON.COM;0;14.6;21.95;12.97;121.1;83.31
ALIBABA GROUP HOLDING ADR 1:8;0;31.23;23.77;17.39;31;16.6
FACEBOOK CLASS A;0;41.11;19.96;19.94;32;0.47
TENCENT HOLDINGS;0.23;35.55;24.68;15.92;42.6;53.74
ALPHABET A;0;33.18;18.12;17.76;33.2;2.26
TESLA;0;11.21;-14.94;-1.61;1036.3;202.77
WALMART;1.54;4.88;20.22;12.55;26.6;72.95
JOHNSON & JOHNSON;2.71;23.83;25.36;17.38;26.7;46.57
TAIWAN SEMICON.MNFG.;2.31;57.91;20.94;18.96;24.7;11.89
NESTLE 'N';2.47;16.85;23.05;14.21;23.3;71.42
